workbook_id,category,defined_name_id,scope_sheet_index,hidden,metadata_status,reference_kind,external_reference,functions,calculation_topics,detected_units
48e84a7374ffc7ba,torque-drag-drillstring,n000107,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000108,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000109,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000110,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000111,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000112,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
65e07d7859867671,hydraulics,n000001,,,scope-and-visibility-unsupported-by-calamine,formula,False,,,
65e07d7859867671,hydraulics,n000002,,,scope-and-visibility-unsupported-by-calamine,formula,False,,,
65e07d7859867671,hydraulics,n000003,,,scope-and-visibility-unsupported-by-calamine,formula,False,,,
65e07d7859867671,hydraulics,n000004,,,scope-and-visibility-unsupported-by-calamine,formula,False,,,
65e07d7859867671,hydraulics,n000005,,,scope-and-visibility-unsupported-by-calamine,formula,False,,,
65e07d7859867671,hydraulics,n000006,,,scope-and-visibility-unsupported-by-calamine,formula,False,,,
65e07d7859867671,hydraulics,n000007,,,scope-and-visibility-unsupported-by-calamine,formula,False,,,
65e07d7859867671,hydraulics,n000008,,,scope-and-visibility-unsupported-by-calamine,formula,False,,,
65e07d7859867671,hydraulics,n000009,,,scope-and-visibility-unsupported-by-calamine,formula,False,,,
779e267fd49f229e,directional,n000001,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000002,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000003,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000004,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000005,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000006,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000007,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000008,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000009,,,scope-and-visibility-unsupported-by-calamine,formula,False,,,
779e267fd49f229e,directional,n000010,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000011,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000012,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000013,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000014,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000015,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000016,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000017,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000018,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000019,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000020,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000021,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000022,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000023,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000024,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000025,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000026,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000027,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000028,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000029,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000030,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000031,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000032,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000033,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000034,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000035,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000036,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000037,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000038,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000039,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000040,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000041,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000042,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000043,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000044,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000045,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000046,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000047,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000048,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000049,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000050,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000051,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000052,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000053,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000054,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000055,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000056,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000057,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000058,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000059,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000060,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000061,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000062,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000063,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000064,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000065,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000066,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000067,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000068,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000069,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000070,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000071,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000072,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000073,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000074,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000075,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000076,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000077,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000078,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
779e267fd49f229e,directional,n000079,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
