workbook_id,category,module_id,record_id,record_kind,module_kind,procedure_kind,visibility,execution_trigger,source_status,source_lines,executable_lines,calculation_topics,detected_units,risk_signals
b147eb91b2f2fd18,thermal,m0104,m0104-p0005,procedure,user-form,sub,private,explicit-call,available,3,2,,,
b147eb91b2f2fd18,thermal,m0104,m0104-p0006,procedure,user-form,sub,private,explicit-call,available,19,14,hydraulics.bit-nozzle,in^2,
b147eb91b2f2fd18,thermal,m0104,m0104-p0007,procedure,user-form,sub,private,explicit-call,available,19,14,hydraulics.bit-nozzle,m^2|mm,
b147eb91b2f2fd18,thermal,m0105,m0105,module,class-or-document-module,,,,available,40,0,directional.dogleg-severity,N|ft|mm,
b147eb91b2f2fd18,thermal,m0105,m0105-p0001,procedure,class-or-document-module,sub,private,workbook-event,available,40,32,directional.dogleg-severity,N|ft|mm,
b147eb91b2f2fd18,thermal,m0106,m0106,module,user-form,,,,available,25,0,,,
b147eb91b2f2fd18,thermal,m0106,m0106-p0001,procedure,user-form,sub,private,explicit-call,available,12,9,,,
b147eb91b2f2fd18,thermal,m0106,m0106-p0002,procedure,user-form,sub,private,explicit-call,available,12,9,,,
b147eb91b2f2fd18,thermal,m0107,m0107,module,user-form,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0108,m0108,module,user-form,,,,available,969,0,bha.geometry|cross-cutting.lookup|cross-cutting.unit-conversion,N|bbl/min|gal/min|hp|kPa|m|mm|psi|rpm,
b147eb91b2f2fd18,thermal,m0108,m0108-p0001,procedure,user-form,sub,public,explicit-call,available,7,7,,,
b147eb91b2f2fd18,thermal,m0108,m0108-p0002,procedure,user-form,sub,public,explicit-call,available,7,7,,,
b147eb91b2f2fd18,thermal,m0108,m0108-p0003,procedure,user-form,sub,private,explicit-call,available,50,34,bha.geometry,N|bbl/min,
b147eb91b2f2fd18,thermal,m0108,m0108-p0004,procedure,user-form,sub,private,explicit-call,available,37,27,,,
b147eb91b2f2fd18,thermal,m0108,m0108-p0005,procedure,user-form,sub,private,explicit-call,available,3,3,,,
b147eb91b2f2fd18,thermal,m0108,m0108-p0006,procedure,user-form,sub,private,explicit-call,available,49,34,bha.geometry,N|bbl/min,
b147eb91b2f2fd18,thermal,m0108,m0108-p0007,procedure,user-form,sub,private,explicit-call,available,47,34,bha.geometry,N|bbl/min,
b147eb91b2f2fd18,thermal,m0108,m0108-p0008,procedure,user-form,sub,private,explicit-call,available,3,3,,,
b147eb91b2f2fd18,thermal,m0108,m0108-p0009,procedure,user-form,sub,private,explicit-call,available,359,287,bha.geometry|cross-cutting.lookup|cross-cutting.unit-conversion,bbl/min|hp|rpm,
b147eb91b2f2fd18,thermal,m0108,m0108-p0010,procedure,user-form,sub,private,explicit-call,available,3,3,,,
b147eb91b2f2fd18,thermal,m0108,m0108-p0011,procedure,user-form,sub,private,explicit-call,available,28,23,,,
b147eb91b2f2fd18,thermal,m0108,m0108-p0012,procedure,user-form,sub,private,explicit-call,available,49,39,,bbl/min,
b147eb91b2f2fd18,thermal,m0108,m0108-p0013,procedure,user-form,sub,private,explicit-call,available,34,25,,bbl/min|rpm,
